순위,영화명,관람가,평점,예매율,개봉일
1,엘리멘탈,전체관람가,8.6,25.9,23.06.14
2,범죄도시3,15세이상관람가,6.6,17.1,23.05.31
3,스파이더맨: 어크로스 더 유니버스,전체관람가,8.6,15.6,23.06.21
4,귀공자,청소년관람불가,8.3,12.7,23.06.21
5,인디아나 존스: 운명의 다이얼,12세이상관람가,8.9,8.3,23.06.28
6,2022 영탁 단독 콘서트 - 탁쇼,전체관람가,0.0,4.9,23.06.28
7,플래시,12세이상관람가,7.9,4.1,23.06.14
8,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,12세이상관람가,8.9,2.2,23.06.23
9,여름날 우리,12세이상관람가,8.0,1.0,23.06.28
10,애스터로이드 시티,12세이상관람가,6.0,0.9,23.06.28
11,트랜스포머: 비스트의 서막,12세이상관람가,7.3,0.7,23.06.06
12,수라,전체관람가,9.8,0.5,23.06.21
13,가디언즈 오브 갤럭시: Volume 3,12세이상관람가,8.7,0.4,23.05.03
14,비의도적 연애담 스페셜,12세이상관람가,10.0,0.4,23.06.14
15,악마들,청소년관람불가,9.0,0.4,23.07.05
16,샤이닝,청소년관람불가,8.0,0.4,23.06.28
17,파이어하트,전체관람가,5.5,0.3,23.06.28
18,라방,청소년관람불가,9.4,0.2,23.06.28
19,"1986 그 여름, 그리고 고등어통조림",12세이상관람가,8.9,0.2,23.07.05
20,남은 인생 10년,12세이상관람가,8.1,0.1,23.05.24
